,DET,NOUN,ADJ,VERB,ADP,PUNCT,CCONJ,ADV,PRON,AUX,SCONJ,PROPN,NUM,X,SYM,SPACE,INTJ
0,1,1,,3,,,,,4,1,,,,,,,
1,2,1,2,3,1,1,,2,3,1,,,,,,,
2,1,1,3,,,3,1,3,,1,,,,,,,
3,1,1,2,,,1,1,2,2,2,,,,,,,
4,10,13,9,7,11,6,5,8,11,,2,1,,,,,
5,3,3,1,8,2,7,1,2,6,,2,,,,,,
6,3,7,1,1,2,3,,,,,,,,,,,
7,2,3,,2,1,,,1,,,,,,,,,
8,8,11,3,4,7,1,4,1,1,2,,,,,,,
9,,1,,3,,2,,2,3,,,,,,,,
10,,,,1,,1,,,2,1,,1,,,,,
11,2,5,1,3,1,1,1,,,,,,,,,,
12,4,4,2,1,3,3,1,2,,1,,1,,,,,
13,2,2,2,1,2,1,,,,,,2,,,,,
14,1,1,,1,,1,,,,1,,,,,,,
15,3,2,,2,1,1,,1,1,1,1,1,1,,,,
16,3,3,1,3,1,2,,,,2,,,,,,,
17,2,3,,4,2,1,,,1,,,,,,,,
18,,,,4,1,3,,2,5,,,1,,,,,
19,1,3,,1,,2,1,,1,,,,2,,,,
20,9,22,4,5,18,12,2,1,6,,,,,,,,
21,,4,,2,,2,,,,,1,,8,,,,
22,4,4,1,1,2,1,,,,,,,,,,,
23,3,5,4,2,4,1,2,1,1,1,1,,,,,,
24,2,3,1,1,1,2,,,3,,2,,,,,,
25,12,22,9,9,14,10,4,5,15,2,1,1,,,,,
26,1,3,,3,2,,,,2,,,,,,,,
27,,,,1,,,,,1,1,,,,,,,
28,1,2,1,1,1,,,1,2,,1,,,,,,
29,,6,3,2,3,1,2,,,,,,1,,,,
30,,2,,,2,1,,1,1,1,,,,,,,
31,5,5,,1,1,2,1,,2,2,,,2,,,,
32,,,,3,,3,,,4,1,,1,,,,1,
33,1,,,1,,1,1,4,,,,1,,,,,
34,2,1,,3,1,1,,,3,1,,1,,,,,
35,,,,2,1,1,,,3,1,,,,,,,
36,4,5,3,4,2,3,,3,,2,2,,1,,,,
37,1,1,,4,,1,,,2,1,1,,,,,,
38,1,2,2,,,1,,,,,,,,,,,
39,2,3,2,2,3,2,1,,1,,,1,1,,,,
40,3,5,2,3,4,3,,2,4,,,,,,,,
41,4,5,5,2,5,4,,2,1,,,4,,,,,
42,1,1,,3,,3,,,3,1,1,,,,,,
43,8,12,4,2,12,5,1,2,1,4,,3,1,,,,
44,8,12,2,3,8,8,2,3,4,1,1,2,3,,,,
45,3,4,2,4,5,2,,1,1,,1,2,,,,,
46,1,3,,2,3,1,1,1,2,,,,,,,,
47,8,9,6,10,6,8,,2,9,,1,,1,,,,
48,1,2,1,,1,1,,,,1,,,,,,,
49,3,3,,4,3,2,1,2,1,,,,,,,,
50,13,18,6,7,15,3,1,3,,3,1,,2,,,,
51,1,1,,,,2,,,1,1,,1,,,,,
52,3,4,1,3,3,1,1,1,1,1,,1,,,,,
53,1,3,,2,2,1,,2,1,,,,,,,,
54,,1,,,,1,1,,,,,,,,,,
55,4,5,3,1,4,1,1,,,1,,,,,,,
56,4,8,1,2,3,2,1,1,1,,,1,,,,,
57,9,11,3,5,9,1,2,2,2,1,2,,,,,,
58,6,9,7,3,10,3,1,1,,,,,,,,,
59,1,2,,2,,1,1,2,3,1,,,,,,,
60,2,3,1,,2,1,,1,,1,,,,,,,
61,2,4,,1,4,1,,,,,,,,,,,
62,5,6,2,2,3,2,1,1,2,1,,,,,,,
63,3,6,3,4,3,5,1,3,3,1,1,1,3,,,,
64,3,3,3,1,2,2,,,1,,,,,,,,
65,2,2,2,,1,1,,,,1,,,,,,,
66,3,4,2,1,3,1,,1,,,,,,,,,
67,1,2,1,1,1,2,,1,1,1,,,,,,,
68,2,2,1,1,1,1,,,1,,,,,,,,
69,10,11,1,5,5,4,3,6,5,1,1,,,,,,
70,,,,1,,1,,1,1,,,,,,,,
71,3,7,,1,3,2,1,2,,1,,,2,,,,
72,1,1,1,1,1,1,,2,,1,,,,,,,
73,2,2,1,2,1,1,,,1,1,,,,,,,
74,3,3,,4,,2,,,4,1,,1,,,,,
75,,1,,4,2,3,,4,3,,1,,,,,,
76,,1,1,1,,,,,,,,,,,,,
77,4,11,3,3,9,3,1,,,,,1,2,,,,
78,,,2,4,,3,,3,6,1,,,,,,,
79,2,3,2,1,1,2,,,1,2,1,,,,,,
80,1,3,,1,3,1,,1,1,,,1,,,,,
81,1,1,1,1,,1,,,1,,,,,,,,
82,3,3,1,2,2,1,1,,3,,,,,,,,
83,5,5,,3,4,1,,2,1,1,,,,,,,
84,2,2,,1,1,1,,,1,1,,,,,,,
85,6,8,2,3,5,4,2,1,2,4,1,,2,,,,
86,3,3,,2,1,,,2,3,2,,,,,,,
87,2,2,1,2,1,,,1,2,,,,,,,,
88,7,12,3,4,10,8,3,4,,,,1,3,,,,
89,3,4,,4,4,1,,2,3,,,,,,,,
90,5,11,4,4,7,7,2,1,1,,,2,,1,,,
91,6,6,2,2,1,6,,1,1,,,1,,,,,
92,3,8,1,4,4,8,,2,4,1,,3,,1,,,
93,6,5,4,5,6,3,1,1,4,,,2,1,,,,
94,1,2,,2,1,1,,1,1,,,,,,,,
95,3,3,1,1,2,1,,,2,1,,,,1,,,
96,3,2,1,1,1,1,,,,1,,,,1,,,
97,,,1,,,2,1,3,1,1,,1,,,,,
98,7,9,,2,10,7,,,3,,,,,,,,
99,6,6,8,5,3,1,1,4,4,1,1,,,,,,
100,8,11,2,5,7,,1,2,3,1,,,,,,,
101,4,6,1,3,6,3,,,1,1,,,1,,,,
102,1,1,,1,1,1,,1,2,,,,,,,,
103,1,1,1,4,2,2,,3,2,1,,,,,,,
104,5,5,1,1,4,,,,1,2,,,,,,,
105,2,4,1,1,3,1,,,,,,,,,,,
106,1,,2,,,1,,1,,1,,,,,,,
107,2,5,1,1,3,1,1,1,2,,,,,,,,
108,2,3,,1,2,2,,2,2,,,,,,,,
109,6,7,6,2,7,3,2,3,2,1,,,1,,,,
110,3,4,1,2,3,1,,,,,,,,,,,
111,1,3,,,2,,1,,,1,,1,,,,,
112,6,6,2,2,4,3,1,,1,,,,1,,,,
113,4,7,3,2,3,2,,,2,,,,,,,,
114,7,10,2,3,9,4,1,3,1,1,,,,,,,
115,2,2,2,,1,1,1,2,,1,,,,,,,
116,2,5,1,1,6,,,2,,2,,3,1,,,,
117,,,,,2,2,1,6,3,,1,1,,,,,
118,3,7,,5,6,2,,2,3,,,,,,,,
119,2,2,3,,1,5,2,1,1,1,,4,,,,,
120,1,,1,3,1,1,1,2,3,,,,,,,,
121,3,5,3,4,5,5,1,1,2,1,2,,,,,,
122,2,6,,1,4,1,,,2,,,,,,,,
123,4,6,3,4,4,6,1,1,1,1,1,,1,,,,
124,,2,1,1,2,1,,1,2,,,,,,,,
125,4,10,3,1,8,6,2,2,2,1,1,,,,,,
126,5,6,,2,3,5,,,1,,,3,,,,,
127,4,7,2,4,3,2,,,,,,,,,,,
128,3,6,1,5,4,4,1,3,3,1,1,,,,,,
129,5,10,2,4,6,3,,,,1,,11,,,,,
130,2,2,1,,1,1,,,1,1,,,,,,,
131,2,2,,2,1,2,,,2,1,,,,,,,
132,2,2,3,,1,2,1,2,,1,,,,,,,
133,1,1,,2,1,1,,1,2,,,,,,,,
134,4,6,1,2,4,1,,,2,,,,,,,,
135,3,5,3,3,2,1,,,1,1,1,1,1,,,,
136,,,,2,,1,,,4,2,,,,,,,
137,3,6,,4,2,8,,3,4,,,1,,,,,
138,2,1,1,1,2,1,,1,2,1,,,,,,,
139,2,4,1,2,2,1,,,,1,1,,,,,,
140,1,1,1,1,1,,,2,1,,,,,,,,
141,6,9,6,5,6,3,2,2,,2,1,,,,,,
142,8,12,4,6,8,3,2,4,1,1,2,,,,,,
143,21,31,6,17,30,12,9,11,12,2,2,2,,,,,
144,2,5,1,,3,2,,,,,,,1,,,,
145,2,3,1,2,,3,,,3,,,,,,,,
146,,2,1,3,1,2,,,1,,,,,,,,
147,8,10,1,2,5,4,,3,1,1,,,,,,,
148,2,2,1,1,1,1,,1,1,,,,,,,,
149,1,3,1,4,3,6,3,6,5,1,4,4,,,,,
150,5,5,1,3,3,3,1,,1,2,,3,,,,,
151,1,5,,,5,1,,,,,,,,,,,
152,,,,1,1,1,,,2,,,1,,,,,
153,1,1,,2,,1,,2,1,1,1,,,,,,
154,2,2,,,1,1,,,2,1,,1,,,,,
155,2,6,2,3,7,3,,5,3,1,2,2,,,,,
156,,6,4,3,8,2,2,1,1,,,2,,,,,
157,,,1,,,1,,,2,1,,,,,,,
158,1,2,,1,,1,,1,,,,,,,,,
159,1,2,2,2,2,2,,1,4,2,1,,,,,,
160,3,3,,2,2,1,1,,3,1,,1,1,,,,
161,1,1,,1,1,1,,,1,,,,,,,,
162,3,5,1,1,3,1,,3,1,1,,,,,,,
163,2,1,,3,,1,1,,1,1,,2,,,,,
164,4,8,1,1,7,2,1,,1,1,,,,,,,
165,6,19,4,3,14,4,3,,,1,,,,,,,
166,1,2,,1,2,1,,,,,,1,,,,,
167,1,2,1,1,2,1,,,2,,,,,,,,
168,3,6,3,2,5,3,,1,1,1,1,2,,,,,
169,2,2,,1,1,1,,,1,1,,,,,,,
170,1,,,1,,1,,2,,,,1,,,,,
171,3,2,,1,,2,,1,1,,,1,,,,,
172,,,,,1,1,,,1,,,3,,,,,
173,,,1,2,1,1,,2,3,2,,,,,,,
174,2,4,,1,2,1,,,2,,,1,,,,,
175,4,5,3,2,2,2,1,2,,,,,,,,,
176,5,7,1,2,6,,,,,,,1,1,,,,
177,9,9,3,3,3,3,,1,1,,1,,,,,,
178,,2,1,2,3,2,,,2,1,,,1,,,,
179,4,7,1,7,6,3,1,5,6,2,2,,,,,,
180,3,5,,4,2,1,1,,1,,,1,,,,,
181,4,5,,5,4,3,1,2,2,1,1,2,1,,,,
182,3,3,,3,2,1,2,3,1,,,,,,,,
183,6,5,1,1,2,3,,,5,2,,,,,,,
184,3,4,2,3,3,2,,,,,,,,,,,
185,2,3,,3,2,2,1,,1,,1,1,,,,,
186,4,5,,4,5,1,1,2,4,,1,2,,,,,
187,2,3,2,1,1,2,,1,1,,1,,,,,,
188,5,6,3,4,8,3,2,3,3,1,1,1,,,,,
189,1,4,1,4,1,5,,,3,1,,,,,,,
190,1,1,,1,1,1,,,1,,,,,,,,
191,7,8,2,5,1,8,1,,4,3,1,1,,,,,
192,5,4,5,2,2,,1,,,,,1,,,,,
193,10,13,3,6,9,7,1,3,3,1,1,2,,,,,
194,2,3,1,2,3,2,,,1,,,,,,,,
195,1,2,1,1,1,1,,1,1,,,,,,,,
196,5,7,3,2,6,1,,,,,,,1,,,,
197,1,3,1,2,2,3,1,,1,,,2,2,,,,
198,4,2,2,2,,5,,4,2,1,,,,1,,,
199,,2,,3,1,3,,2,1,2,,,,,,,
200,3,5,,4,5,1,,,2,1,,1,2,,,,
201,4,5,2,3,3,1,,,2,,,,,,,,
202,1,2,1,,1,1,,,,1,,1,1,,,,
203,1,1,1,,1,1,,,,,,1,,,,,
204,6,6,2,2,3,2,1,,2,,,,,,,,
205,2,1,,2,,2,,3,1,,,,,,,,
206,2,3,,1,3,2,,,1,1,,,,,,,
207,2,4,,1,4,2,,1,1,1,,2,1,,,,
208,2,2,,2,1,,,2,2,,2,,1,,,,
209,1,1,,,,1,,,,,,2,,,,,
210,2,5,,1,2,2,1,3,1,,,,,,,,
211,1,2,1,1,,1,1,,3,2,,,1,,,,
212,3,3,,1,4,1,,,2,1,,1,1,,,,
213,1,5,,1,3,2,,,,,,2,,,,,
214,4,7,1,4,8,7,1,2,1,3,,,,,,,
215,2,2,,1,1,1,,,2,,,,,,,,
216,2,3,1,2,2,1,,,,,,,,,,,
217,4,18,4,2,11,9,4,,,1,,1,,,,,
218,,1,1,1,,1,,,3,1,1,,,,,,
219,2,3,,2,5,1,,,1,2,,1,1,,,,
220,2,3,1,2,3,1,,1,,,,,,,,,
221,7,9,5,10,5,3,2,3,1,2,,,,,,,
222,,1,,2,,1,,,1,,,,,,,,
223,3,4,,2,6,4,1,,2,2,,4,,,,,
224,,1,,,3,1,,1,,1,,1,,,,,
225,3,9,,4,3,5,2,3,3,,,,,,,,
226,1,1,,5,2,1,,3,5,,1,1,,,,,
227,2,1,1,2,2,1,,2,,,,,,,,,
228,1,1,,,,3,2,3,2,,,,,,,,
229,2,3,,1,1,2,1,,1,,,,,,,,
230,,6,,,1,4,,,,,,,6,,,,
231,4,4,3,3,5,1,1,1,1,,,1,,,,,
232,5,5,2,1,3,1,1,1,,,,,,,,,
233,,2,,1,2,1,,,2,,,,1,,,,
234,,1,,2,2,1,,1,2,1,1,,,,,,
235,4,7,1,1,4,2,2,1,,,,,1,,,,
236,1,8,2,4,5,4,,2,2,,,,1,,,,
237,2,2,,1,,1,2,,,,,,,,,,
238,1,1,1,3,1,2,,1,2,,1,,,,,,
239,1,2,,1,3,1,,,1,,,1,,,,,
240,3,7,2,1,6,3,,1,4,,,,,,,,
241,5,5,2,3,2,2,2,1,2,,,,,,,,
242,,,,1,,,,1,2,,,,,,,,
243,,2,,3,2,,,3,1,,,,,,,,
244,2,3,,,2,1,,1,,,,,,,,,
245,,,1,,,2,,,4,1,1,2,,,,,
246,2,2,1,3,,3,,,2,,1,,,,,,
247,2,8,,4,5,1,1,,1,,,3,1,,,,
248,1,1,,3,1,1,,1,3,,,,,,,,
249,3,8,,2,6,4,1,3,2,1,1,,2,,,,
250,4,3,1,4,2,2,1,3,3,,,,,,,,
251,4,4,,1,3,2,,,1,,,,,,,,
252,2,2,1,1,1,1,,,1,,,,,,,,
253,2,1,4,1,1,1,2,3,,1,,,,,,,
254,3,5,,,2,2,,,,,,2,,,,,
255,16,26,4,7,14,14,6,5,3,,2,2,,,,,
256,3,3,1,3,2,1,1,2,3,1,3,1,,,,,
257,1,1,,1,,1,,,1,,,,,,,,
258,2,2,1,1,1,,,,,,,1,,,,,
259,22,32,7,20,25,16,5,6,14,4,3,3,,1,,,
260,1,2,,1,2,1,,3,,,,,,,,,
261,2,1,,1,,1,,,2,1,,1,,,,,
262,,,1,,,2,,1,,,,1,,,,,
263,3,4,2,2,2,2,1,,3,,,,,,,,
264,3,5,1,2,2,,1,2,,1,,1,2,,,,
265,3,3,2,1,1,2,,1,,1,,,,,,,
266,4,7,1,2,5,4,1,2,2,1,,,1,,,,
267,4,4,,2,2,2,,1,1,1,,,,,,,
268,3,5,2,4,2,1,1,3,1,1,1,,,,,,
269,9,13,3,5,9,5,3,3,2,1,1,,,,,,
270,1,1,,2,1,1,,,2,,,,,,,,
271,,,,2,,2,1,,3,,,,,,,,
272,,,,4,,2,,,3,,1,,,,,,
273,3,7,1,4,4,3,1,,3,1,,,1,,,,
274,4,5,,2,3,1,1,,4,,,,,,,,
275,1,2,,1,1,1,,,,,,,,,,,
276,3,5,3,2,3,4,1,1,,1,,1,,,,,
277,2,2,3,,1,2,,1,,1,,,,,,,
278,1,4,,3,3,3,1,4,2,2,,1,,,,,
279,3,6,,4,4,,,,1,,,,,,,,
280,1,1,,1,1,1,,,1,,,,,,,,
281,7,14,1,5,9,8,1,1,2,1,,4,1,,,,
282,9,10,3,3,9,3,,1,1,2,,3,,,,,
283,,,,2,1,2,,2,3,,,,,,,,
284,2,3,,,2,2,,,1,1,,1,,,,,
285,1,2,1,,2,1,1,3,,,,,,,,,
286,2,5,1,,2,1,,,,,,,,,,,
287,11,24,10,11,17,15,1,16,7,3,2,1,,,,,
288,3,7,3,2,7,2,2,2,1,,,,,,,,
289,6,10,2,5,7,3,1,2,2,1,,,,,,,
290,2,4,,3,5,2,,,,,,2,,,,,
291,2,3,3,4,4,2,,1,2,,1,,,,,,
292,,2,1,2,3,2,,,3,1,,,,,,,
293,2,2,1,2,1,1,,2,1,,,,,,,,
294,9,10,2,2,5,3,2,1,1,1,,,,,,,
295,9,12,4,5,6,3,2,,,,,,,,,,
296,2,2,1,1,2,1,,,,1,,2,,,,,
297,5,6,,2,3,3,1,1,3,,1,,,,,,
298,1,3,,5,3,1,,1,4,,,,,,,,
299,1,1,1,,1,1,,,2,1,,,1,,,,
300,1,1,,1,,1,,,1,1,,,1,,,,
301,2,1,2,1,1,1,,,1,1,,1,,,,,
302,5,10,4,1,5,2,3,1,,1,1,,,,,,
303,1,1,,1,,1,,2,1,,,,,,,,
304,2,2,1,1,2,2,,1,1,,,1,,,,,
305,1,1,,,,1,,1,,,,,,,,,
306,1,3,,1,2,1,1,,1,,,,,,,,
307,2,6,,3,5,2,1,1,,,1,1,,,,,
308,3,3,2,1,2,2,,2,1,,1,,,,,,
309,3,4,,2,1,2,,,,,,,,,,,
310,3,5,3,2,4,4,,2,,,,,,,,,
311,2,2,,1,1,1,,,1,1,,,,,,,
312,5,9,1,1,7,3,1,3,,1,,,,,,,
313,3,4,1,1,2,2,1,,2,3,1,1,,,,,
314,2,4,1,1,3,2,,2,1,2,,,,,,,
315,12,16,3,6,10,13,1,,7,,1,,1,,,,
316,3,6,,1,4,1,,,2,1,,,1,,,,
317,1,3,2,5,2,2,,2,1,,1,,,,,,
318,3,3,1,1,3,3,1,,3,1,,,1,,,,
319,,,1,1,,1,,1,1,,,,,,,,
320,13,16,2,9,13,16,2,2,12,4,1,1,,,,,
321,2,3,1,1,2,2,,1,1,,,,,,,,
322,4,4,1,2,6,5,,,1,1,1,8,,,,,
323,4,9,1,9,4,3,2,,4,,3,1,,,,2,
324,1,1,1,1,,,,1,1,1,,,,,,,
325,,1,,1,1,,,1,1,,,,,,,,
326,6,8,4,6,4,3,1,,2,1,,,,,,,
327,4,6,2,3,6,2,1,1,1,,,,,,,,
328,2,3,,,2,1,,1,,,,,,,,,
329,3,5,2,1,4,1,1,3,2,,,,,,,,
330,1,3,1,1,2,,,,,,,,,,,,
331,,,,2,1,1,1,5,3,,,,,,,,
332,1,2,1,,1,1,,,1,1,,,,,,,
333,1,3,2,3,5,1,2,,2,,,,,,,,
334,1,1,,2,2,1,,,1,1,,,,,,,
335,2,2,1,1,1,2,,,3,,2,1,,,,,
336,,,1,,,2,,2,1,1,,,,,,,
337,3,1,,1,1,2,1,2,2,,,1,,,,,
338,9,12,6,3,9,2,2,5,,3,1,2,,,,,
339,6,13,3,3,8,5,,3,,,1,,2,,,,
340,4,6,2,2,5,2,,1,2,1,,1,,,,,
341,1,1,,2,,1,1,,3,,,1,,,,,
342,6,5,2,3,3,2,1,5,1,,,2,,,,,
343,5,8,,2,7,4,2,2,1,1,,1,,,,,
344,6,7,2,3,4,5,1,,1,1,,2,2,,,,
345,2,3,1,1,1,,,,,1,,,,,,,
346,,1,,,2,2,,2,1,,,,,,,,
347,7,11,4,6,7,6,2,2,9,,,,,,,,
348,,1,,1,,2,,1,1,,,1,,,,,
349,3,2,,1,,1,,2,1,1,1,,,,,,
350,3,8,2,3,4,2,1,6,,,2,,3,,,,
351,2,3,,,2,1,,,1,1,,,,,,,
352,5,5,,4,4,3,1,,1,,1,1,,,,,
353,,,1,1,,1,,,2,,,,,,,,
354,4,8,3,2,5,6,1,5,4,3,1,,1,,,,
355,27,34,17,12,25,11,2,8,8,3,4,,,,,,
356,1,2,,1,1,1,,,1,1,,,,,,,
357,1,3,2,2,2,2,,3,2,1,,,,,,,
358,6,9,3,4,5,3,1,,1,,,,1,,,,
359,1,9,1,1,8,5,1,1,2,,1,,,,,,
360,1,1,,1,,2,1,2,1,,,,,,,,
361,2,2,3,6,,3,,3,6,,2,1,,,,,
362,3,7,1,3,2,3,1,,1,,,,,,,,
363,3,3,1,1,2,,,,2,2,,,,,,,
364,6,8,4,5,7,1,,,,,,,,,,,
365,2,1,1,2,,1,,,2,1,,1,,,,,
366,2,2,1,2,1,2,,7,3,1,,,,,,,
367,,1,1,2,2,2,,4,2,1,1,,,,,,
368,4,3,2,1,3,1,,,,,,3,,,,,
369,9,13,2,1,10,2,1,3,2,1,1,,,,,,
370,2,2,2,4,2,4,1,2,1,3,,,,,,,
371,1,2,3,,1,2,,2,1,1,,2,,,,,
372,9,15,2,12,14,6,2,7,7,,4,,,,,,
373,1,1,,1,,1,,2,1,,,,,,,,
374,5,8,4,1,5,3,1,4,2,,,,,,,,
375,3,2,3,1,,1,2,,1,1,,1,,,,,
376,,,,1,,1,,2,1,1,,,,,,,
377,2,2,1,2,1,1,1,1,1,2,,,,,,,
378,1,1,,,,2,,,2,1,1,,,,,,
379,1,1,,4,1,2,,,4,1,,,,,,,
380,2,2,,1,2,1,,,1,,,,,,,,
381,,1,,1,2,,,1,2,,,1,,,,,
382,1,1,,2,,1,,,1,,,,,,,,
383,2,2,1,3,2,2,1,1,3,2,,,,,,,
384,1,5,1,1,3,1,,,1,1,,,,,,,
385,2,2,,3,,1,,1,1,,1,,,,,,
386,6,11,1,5,5,2,2,,3,1,1,1,,,,,
387,2,4,,1,1,1,,,1,,,,1,,,,
388,3,5,2,2,2,1,1,,2,,,,,,,,
389,,3,,4,3,2,,2,2,,,,,,,,
390,2,6,1,4,5,4,,9,3,,1,1,,,,,
391,1,2,1,1,2,,1,,2,2,,1,,,,,
392,1,1,1,,,,,,1,1,,,,,,,
393,4,7,2,1,6,2,,2,1,,1,,,,,,
394,3,3,1,1,1,2,,4,1,,1,,,,,,
395,3,6,3,1,4,2,1,,,,,,,,,,
396,,,,2,1,1,,2,2,,,,,,,,
397,1,2,,1,,2,,1,1,2,,,,,,,
398,3,4,1,2,2,3,,1,3,4,1,1,1,,,,
399,1,1,,1,,1,,2,,,,,,,,,
400,2,4,1,1,3,2,1,2,1,1,,,,,,,
401,,,2,1,2,2,1,,1,,,1,,,,,
